idx,group,method,question,gold_anchor,pred_anchor,gold_order,pred_order,references,raw_output,temporal_order_accuracy,anchor_accuracy,support_reordering_accuracy
1628,reversed_hard,Standard RAG,在19年，‘肯尼迪’号航母退役、《南华早报》对中国文化现象的报道、中国选送电影《哪吒之魔童降世》参加奥斯卡和国际天文学联合会的发现，哪个事件最早发生？,1,0,"[1, 2, 3, 0]","[0, 1, 2, 3]",,,0.5000,0.0000,0.0000
1628,reversed_hard,TemporalSort,在19年，‘肯尼迪’号航母退役、《南华早报》对中国文化现象的报道、中国选送电影《哪吒之魔童降世》参加奥斯卡和国际天文学联合会的发现，哪个事件最早发生？,1,1,"[1, 2, 3, 0]","[1, 0, 2, 3]",,,0.6667,1.0000,0.0000
1628,reversed_hard,E$^2$RAG (reimpl.),在19年，‘肯尼迪’号航母退役、《南华早报》对中国文化现象的报道、中国选送电影《哪吒之魔童降世》参加奥斯卡和国际天文学联合会的发现，哪个事件最早发生？,1,1,"[1, 2, 3, 0]","[1, 2, 0, 3]",,,0.8333,1.0000,0.0000
1628,reversed_hard,Ours,在19年，‘肯尼迪’号航母退役、《南华早报》对中国文化现象的报道、中国选送电影《哪吒之魔童降世》参加奥斯卡和国际天文学联合会的发现，哪个事件最早发生？,1,1,"[1, 2, 3, 0]","[1, 2, 0, 3]",,,0.8333,1.0000,0.0000
2622,reversed_hard,Standard RAG,以下四个事件：北京普思投资有限公司达成赔偿协议、中国邮政储蓄银行A股IPO网下申购缴款、韩国政府决定废弃《军事情报保护协定》、国家电网向社会资本开放特高压建设投资，哪一个事件最早发生？,3,0,"[3, 2, 1, 0]","[0, 1, 2, 3]",,,0.0000,0.0000,0.0000
2622,reversed_hard,TemporalSort,以下四个事件：北京普思投资有限公司达成赔偿协议、中国邮政储蓄银行A股IPO网下申购缴款、韩国政府决定废弃《军事情报保护协定》、国家电网向社会资本开放特高压建设投资，哪一个事件最早发生？,3,3,"[3, 2, 1, 0]","[3, 0, 1, 2]",,,0.5000,1.0000,0.0000
2622,reversed_hard,E$^2$RAG (reimpl.),以下四个事件：北京普思投资有限公司达成赔偿协议、中国邮政储蓄银行A股IPO网下申购缴款、韩国政府决定废弃《军事情报保护协定》、国家电网向社会资本开放特高压建设投资，哪一个事件最早发生？,3,3,"[3, 2, 1, 0]","[3, 2, 1, 0]",,,1.0000,1.0000,1.0000
2622,reversed_hard,Ours,以下四个事件：北京普思投资有限公司达成赔偿协议、中国邮政储蓄银行A股IPO网下申购缴款、韩国政府决定废弃《军事情报保护协定》、国家电网向社会资本开放特高压建设投资，哪一个事件最早发生？,3,3,"[3, 2, 1, 0]","[3, 2, 1, 0]",,,1.0000,1.0000,1.0000
25,reversed_hard,Standard RAG,苹果公司宣布Apple Card信用卡政策、良渚古城遗址列入《世界遗产名录》、iPhone 12系列推出，哪个事件发生得最早？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
25,reversed_hard,TemporalSort,苹果公司宣布Apple Card信用卡政策、良渚古城遗址列入《世界遗产名录》、iPhone 12系列推出，哪个事件发生得最早？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
25,reversed_hard,E$^2$RAG (reimpl.),苹果公司宣布Apple Card信用卡政策、良渚古城遗址列入《世界遗产名录》、iPhone 12系列推出，哪个事件发生得最早？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
25,reversed_hard,Ours,苹果公司宣布Apple Card信用卡政策、良渚古城遗址列入《世界遗产名录》、iPhone 12系列推出，哪个事件发生得最早？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
457,reversed_hard,Standard RAG,美国海军P-8A“海神”海上巡逻机出现在台湾西南空域、辉瑞公司新冠疫苗研发有效率宣布超过90%和吴幽承诺捐赠1100万元，这三个事件哪个最早发生？,2,0,"[2, 0, 1]","[0, 1, 2]",,,0.3333,0.0000,0.0000
457,reversed_hard,TemporalSort,美国海军P-8A“海神”海上巡逻机出现在台湾西南空域、辉瑞公司新冠疫苗研发有效率宣布超过90%和吴幽承诺捐赠1100万元，这三个事件哪个最早发生？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
457,reversed_hard,E$^2$RAG (reimpl.),美国海军P-8A“海神”海上巡逻机出现在台湾西南空域、辉瑞公司新冠疫苗研发有效率宣布超过90%和吴幽承诺捐赠1100万元，这三个事件哪个最早发生？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
457,reversed_hard,Ours,美国海军P-8A“海神”海上巡逻机出现在台湾西南空域、辉瑞公司新冠疫苗研发有效率宣布超过90%和吴幽承诺捐赠1100万元，这三个事件哪个最早发生？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
464,reversed_hard,Standard RAG,长江三角洲区域一体化发展规划纲要、福建自贸试验区挂牌、和B站购物专区上线，这三个中哪一个事件最早发生？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
464,reversed_hard,TemporalSort,长江三角洲区域一体化发展规划纲要、福建自贸试验区挂牌、和B站购物专区上线，这三个中哪一个事件最早发生？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
464,reversed_hard,E$^2$RAG (reimpl.),长江三角洲区域一体化发展规划纲要、福建自贸试验区挂牌、和B站购物专区上线，这三个中哪一个事件最早发生？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
464,reversed_hard,Ours,长江三角洲区域一体化发展规划纲要、福建自贸试验区挂牌、和B站购物专区上线，这三个中哪一个事件最早发生？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
1417,reversed_hard,Standard RAG,海上微风-2020军演、朝阳站配套道路开通和洋山深水港开港，哪个事件发生得最早？,2,0,"[2, 0, 1]","[0, 1, 2]",,,0.3333,0.0000,0.0000
1417,reversed_hard,TemporalSort,海上微风-2020军演、朝阳站配套道路开通和洋山深水港开港，哪个事件发生得最早？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1417,reversed_hard,E$^2$RAG (reimpl.),海上微风-2020军演、朝阳站配套道路开通和洋山深水港开港，哪个事件发生得最早？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1417,reversed_hard,Ours,海上微风-2020军演、朝阳站配套道路开通和洋山深水港开港，哪个事件发生得最早？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1474,reversed_hard,Standard RAG,黑石集团收购物流园区项目、吴旭接受调查、易会满接任证监会主席，哪个事件最早发生？,2,0,"[2, 0, 1]","[0, 1, 2]",,,0.3333,0.0000,0.0000
1474,reversed_hard,TemporalSort,黑石集团收购物流园区项目、吴旭接受调查、易会满接任证监会主席，哪个事件最早发生？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1474,reversed_hard,E$^2$RAG (reimpl.),黑石集团收购物流园区项目、吴旭接受调查、易会满接任证监会主席，哪个事件最早发生？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1474,reversed_hard,Ours,黑石集团收购物流园区项目、吴旭接受调查、易会满接任证监会主席，哪个事件最早发生？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1485,reversed_hard,Standard RAG,嫦娥五号返回地球成功着陆、神州优车信息披露违规调查完毕、戈恩在日本被捕，哪个事件最晚发生？,1,2,"[2, 0, 1]","[0, 1, 2]",,,0.3333,0.0000,0.0000
1485,reversed_hard,TemporalSort,嫦娥五号返回地球成功着陆、神州优车信息披露违规调查完毕、戈恩在日本被捕，哪个事件最晚发生？,1,0,"[2, 0, 1]","[1, 2, 0]",,,0.3333,0.0000,0.0000
1485,reversed_hard,E$^2$RAG (reimpl.),嫦娥五号返回地球成功着陆、神州优车信息披露违规调查完毕、戈恩在日本被捕，哪个事件最晚发生？,1,1,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1485,reversed_hard,Ours,嫦娥五号返回地球成功着陆、神州优车信息披露违规调查完毕、戈恩在日本被捕，哪个事件最晚发生？,1,1,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1560,reversed_hard,Standard RAG,安格斯·迪顿演讲、中国2021年NBA事件和2019年香飘飘业绩报告哪个最早发生？,2,0,"[2, 0, 1]","[0, 1, 2]",,,0.3333,0.0000,0.0000
1560,reversed_hard,TemporalSort,安格斯·迪顿演讲、中国2021年NBA事件和2019年香飘飘业绩报告哪个最早发生？,2,0,"[2, 0, 1]","[0, 2, 1]",,,0.6667,0.0000,0.0000
1560,reversed_hard,E$^2$RAG (reimpl.),安格斯·迪顿演讲、中国2021年NBA事件和2019年香飘飘业绩报告哪个最早发生？,2,0,"[2, 0, 1]","[0, 2, 1]",,,0.6667,0.0000,0.0000
1560,reversed_hard,Ours,安格斯·迪顿演讲、中国2021年NBA事件和2019年香飘飘业绩报告哪个最早发生？,2,2,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
1606,reversed_hard,Standard RAG,魏则西去世、周恒失联和海正药业部分在建工程完工的事件中，哪一个最早发生？,2,0,"[2, 1, 0]","[0, 1, 2]",,,0.0000,0.0000,0.0000
1606,reversed_hard,TemporalSort,魏则西去世、周恒失联和海正药业部分在建工程完工的事件中，哪一个最早发生？,2,1,"[2, 1, 0]","[1, 2, 0]",,,0.6667,0.0000,0.0000
1606,reversed_hard,E$^2$RAG (reimpl.),魏则西去世、周恒失联和海正药业部分在建工程完工的事件中，哪一个最早发生？,2,2,"[2, 1, 0]","[2, 1, 0]",,,1.0000,1.0000,1.0000
1606,reversed_hard,Ours,魏则西去世、周恒失联和海正药业部分在建工程完工的事件中，哪一个最早发生？,2,2,"[2, 1, 0]","[2, 1, 0]",,,1.0000,1.0000,1.0000
4722,reversed_hard,Standard RAG,2020年，中国发布侵害未成年人案件强制报告制度，美国科罗纳市银行劫案和英国首相约翰逊首次主持疫情发布会，这些事件中哪个发生在最晚？,1,2,"[2, 0, 1]","[0, 1, 2]",,,0.3333,0.0000,0.0000
4722,reversed_hard,TemporalSort,2020年，中国发布侵害未成年人案件强制报告制度，美国科罗纳市银行劫案和英国首相约翰逊首次主持疫情发布会，这些事件中哪个发生在最晚？,1,2,"[2, 0, 1]","[0, 1, 2]",,,0.3333,0.0000,0.0000
4722,reversed_hard,E$^2$RAG (reimpl.),2020年，中国发布侵害未成年人案件强制报告制度，美国科罗纳市银行劫案和英国首相约翰逊首次主持疫情发布会，这些事件中哪个发生在最晚？,1,1,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
4722,reversed_hard,Ours,2020年，中国发布侵害未成年人案件强制报告制度，美国科罗纳市银行劫案和英国首相约翰逊首次主持疫情发布会，这些事件中哪个发生在最晚？,1,1,"[2, 0, 1]","[2, 0, 1]",,,1.0000,1.0000,1.0000
118,reversed_hard,Standard RAG,SpaceX的星舰第二次试飞和2023年大闸蟹价格触及历史低点哪个事件先发生？,1,0,"[1, 0]","[0, 1]",,,0.0000,0.0000,0.0000
118,reversed_hard,TemporalSort,SpaceX的星舰第二次试飞和2023年大闸蟹价格触及历史低点哪个事件先发生？,1,0,"[1, 0]","[0, 1]",,,0.0000,0.0000,0.0000
118,reversed_hard,E$^2$RAG (reimpl.),SpaceX的星舰第二次试飞和2023年大闸蟹价格触及历史低点哪个事件先发生？,1,1,"[1, 0]","[1, 0]",,,1.0000,1.0000,1.0000
118,reversed_hard,Ours,SpaceX的星舰第二次试飞和2023年大闸蟹价格触及历史低点哪个事件先发生？,1,1,"[1, 0]","[1, 0]",,,1.0000,1.0000,1.0000
3733,reversed_hard,Standard RAG,卡佩拉加入老鹰队和曼城战胜谢联这两个事件，哪个发生得更早？,1,0,"[1, 0]","[0, 1]",,,0.0000,0.0000,0.0000
3733,reversed_hard,TemporalSort,卡佩拉加入老鹰队和曼城战胜谢联这两个事件，哪个发生得更早？,1,1,"[1, 0]","[1, 0]",,,1.0000,1.0000,1.0000
3733,reversed_hard,E$^2$RAG (reimpl.),卡佩拉加入老鹰队和曼城战胜谢联这两个事件，哪个发生得更早？,1,1,"[1, 0]","[1, 0]",,,1.0000,1.0000,1.0000
3733,reversed_hard,Ours,卡佩拉加入老鹰队和曼城战胜谢联这两个事件，哪个发生得更早？,1,1,"[1, 0]","[1, 0]",,,1.0000,1.0000,1.0000
948,reversed_hard,Standard RAG,美国证券交易委员会批准比特币现货ETF申请、浙江宁波舟山港集装箱船爆炸、博雷利宣布组织欧盟国家会议，这些事件哪个最早发生？,1,0,"[1, 2, 0]","[0, 1, 2]",,,0.3333,0.0000,0.0000
948,reversed_hard,TemporalSort,美国证券交易委员会批准比特币现货ETF申请、浙江宁波舟山港集装箱船爆炸、博雷利宣布组织欧盟国家会议，这些事件哪个最早发生？,1,1,"[1, 2, 0]","[1, 0, 2]",,,0.6667,1.0000,0.0000
948,reversed_hard,E$^2$RAG (reimpl.),美国证券交易委员会批准比特币现货ETF申请、浙江宁波舟山港集装箱船爆炸、博雷利宣布组织欧盟国家会议，这些事件哪个最早发生？,1,1,"[1, 2, 0]","[1, 2, 0]",,,1.0000,1.0000,1.0000
948,reversed_hard,Ours,美国证券交易委员会批准比特币现货ETF申请、浙江宁波舟山港集装箱船爆炸、博雷利宣布组织欧盟国家会议，这些事件哪个最早发生？,1,1,"[1, 2, 0]","[1, 2, 0]",,,1.0000,1.0000,1.0000
1194,reversed_hard,Standard RAG,以下事件哪个最早发生：苏垦农发发布人事变动公告、西安市住房限购政策调整、刘强东宣布为采销员工涨薪？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
1194,reversed_hard,TemporalSort,以下事件哪个最早发生：苏垦农发发布人事变动公告、西安市住房限购政策调整、刘强东宣布为采销员工涨薪？,1,2,"[1, 0, 2]","[2, 0, 1]",,,0.0000,0.0000,0.0000
1194,reversed_hard,E$^2$RAG (reimpl.),以下事件哪个最早发生：苏垦农发发布人事变动公告、西安市住房限购政策调整、刘强东宣布为采销员工涨薪？,1,2,"[1, 0, 2]","[2, 1, 0]",,,0.3333,0.0000,0.0000
1194,reversed_hard,Ours,以下事件哪个最早发生：苏垦农发发布人事变动公告、西安市住房限购政策调整、刘强东宣布为采销员工涨薪？,1,2,"[1, 0, 2]","[2, 1, 0]",,,0.3333,0.0000,0.0000
372,reversed_hard,Standard RAG,以下哪一事件在时间上排名最早：2024年1月FAST项目通过国家验收，2024年4月13日教育部公布高等职业教育专科专业设置结果，还是2024年8月16日最高人民检察院发布财务造假相关文件？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
372,reversed_hard,TemporalSort,以下哪一事件在时间上排名最早：2024年1月FAST项目通过国家验收，2024年4月13日教育部公布高等职业教育专科专业设置结果，还是2024年8月16日最高人民检察院发布财务造假相关文件？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
372,reversed_hard,E$^2$RAG (reimpl.),以下哪一事件在时间上排名最早：2024年1月FAST项目通过国家验收，2024年4月13日教育部公布高等职业教育专科专业设置结果，还是2024年8月16日最高人民检察院发布财务造假相关文件？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
372,reversed_hard,Ours,以下哪一事件在时间上排名最早：2024年1月FAST项目通过国家验收，2024年4月13日教育部公布高等职业教育专科专业设置结果，还是2024年8月16日最高人民检察院发布财务造假相关文件？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
1336,reversed_hard,Standard RAG,西南交通大学违规操作事件的通报、四川电网月城Ⅱ500千伏开关站的试运行和深圳至中山跨江通道开通，哪一个事件最早发生？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
1336,reversed_hard,TemporalSort,西南交通大学违规操作事件的通报、四川电网月城Ⅱ500千伏开关站的试运行和深圳至中山跨江通道开通，哪一个事件最早发生？,1,1,"[1, 0, 2]","[1, 2, 0]",,,0.6667,1.0000,0.0000
1336,reversed_hard,E$^2$RAG (reimpl.),西南交通大学违规操作事件的通报、四川电网月城Ⅱ500千伏开关站的试运行和深圳至中山跨江通道开通，哪一个事件最早发生？,1,1,"[1, 0, 2]","[1, 2, 0]",,,0.6667,1.0000,0.0000
1336,reversed_hard,Ours,西南交通大学违规操作事件的通报、四川电网月城Ⅱ500千伏开关站的试运行和深圳至中山跨江通道开通，哪一个事件最早发生？,1,1,"[1, 0, 2]","[1, 2, 0]",,,0.6667,1.0000,0.0000
2798,reversed_hard,Standard RAG,诺斯林的签约、王毅与乌克兰外长库列巴的会见、《黑神话：悟空》游戏解锁，哪个事件发生得最早？,1,0,"[1, 0, 2]","[0, 1, 2]",,,0.6667,0.0000,0.0000
2798,reversed_hard,TemporalSort,诺斯林的签约、王毅与乌克兰外长库列巴的会见、《黑神话：悟空》游戏解锁，哪个事件发生得最早？,1,2,"[1, 0, 2]","[2, 0, 1]",,,0.0000,0.0000,0.0000
2798,reversed_hard,E$^2$RAG (reimpl.),诺斯林的签约、王毅与乌克兰外长库列巴的会见、《黑神话：悟空》游戏解锁，哪个事件发生得最早？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
2798,reversed_hard,Ours,诺斯林的签约、王毅与乌克兰外长库列巴的会见、《黑神话：悟空》游戏解锁，哪个事件发生得最早？,1,1,"[1, 0, 2]","[1, 0, 2]",,,1.0000,1.0000,1.0000
3811,reversed_hard,Standard RAG,‘认房不认贷’政策、下调存款准备金率0.25个百分点和张之臻亚运会晋级决赛，哪个事件最晚发生？,2,2,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
3811,reversed_hard,TemporalSort,‘认房不认贷’政策、下调存款准备金率0.25个百分点和张之臻亚运会晋级决赛，哪个事件最晚发生？,2,2,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
3811,reversed_hard,E$^2$RAG (reimpl.),‘认房不认贷’政策、下调存款准备金率0.25个百分点和张之臻亚运会晋级决赛，哪个事件最晚发生？,2,2,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
3811,reversed_hard,Ours,‘认房不认贷’政策、下调存款准备金率0.25个百分点和张之臻亚运会晋级决赛，哪个事件最晚发生？,2,2,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
279,reversed_hard,Standard RAG,2023年11月，山东滨州市第二届企业家运动会开幕和丁薛祥主持中哈合作委员会第十一次会议哪个事件发生得更早？,1,0,"[1, 0]","[0, 1]",,,0.0000,0.0000,0.0000
279,reversed_hard,TemporalSort,2023年11月，山东滨州市第二届企业家运动会开幕和丁薛祥主持中哈合作委员会第十一次会议哪个事件发生得更早？,1,0,"[1, 0]","[0, 1]",,,0.0000,0.0000,0.0000
279,reversed_hard,E$^2$RAG (reimpl.),2023年11月，山东滨州市第二届企业家运动会开幕和丁薛祥主持中哈合作委员会第十一次会议哪个事件发生得更早？,1,1,"[1, 0]","[1, 0]",,,1.0000,1.0000,1.0000
279,reversed_hard,Ours,2023年11月，山东滨州市第二届企业家运动会开幕和丁薛祥主持中哈合作委员会第十一次会议哪个事件发生得更早？,1,1,"[1, 0]","[1, 0]",,,1.0000,1.0000,1.0000
2720,control_ordered,Standard RAG,赵雨思舞弊事件、辅仁药业债务诉讼、贝泰尔论文抄袭曝光、王正谱入京、首张黑洞照片公布，哪个事件最早发生？,0,0,"[0, 4, 1, 3, 2]","[0, 1, 2, 3, 4]",,,0.6000,1.0000,0.0000
2720,control_ordered,TemporalSort,赵雨思舞弊事件、辅仁药业债务诉讼、贝泰尔论文抄袭曝光、王正谱入京、首张黑洞照片公布，哪个事件最早发生？,0,1,"[0, 4, 1, 3, 2]","[1, 3, 0, 4, 2]",,,0.6000,0.0000,0.0000
2720,control_ordered,E$^2$RAG (reimpl.),赵雨思舞弊事件、辅仁药业债务诉讼、贝泰尔论文抄袭曝光、王正谱入京、首张黑洞照片公布，哪个事件最早发生？,0,3,"[0, 4, 1, 3, 2]","[3, 0, 4, 1, 2]",,,0.7000,0.0000,0.0000
2720,control_ordered,Ours,赵雨思舞弊事件、辅仁药业债务诉讼、贝泰尔论文抄袭曝光、王正谱入京、首张黑洞照片公布，哪个事件最早发生？,0,3,"[0, 4, 1, 3, 2]","[3, 0, 4, 1, 2]",,,0.7000,0.0000,0.0000
4365,control_ordered,Standard RAG,江西省教育厅发布禁止本科生随意带手机进课堂的新规、2022年英国消费者开始大量采购圣诞树、2021年选秀节目出现争议、《中华人民共和国粮食安全保障法》实施新规定，哪个事件最早发生？,0,0,"[0, 2, 1, 3]","[0, 1, 2, 3]",,,0.8333,1.0000,0.0000
4365,control_ordered,TemporalSort,江西省教育厅发布禁止本科生随意带手机进课堂的新规、2022年英国消费者开始大量采购圣诞树、2021年选秀节目出现争议、《中华人民共和国粮食安全保障法》实施新规定，哪个事件最早发生？,0,0,"[0, 2, 1, 3]","[0, 2, 1, 3]",,,1.0000,1.0000,1.0000
4365,control_ordered,E$^2$RAG (reimpl.),江西省教育厅发布禁止本科生随意带手机进课堂的新规、2022年英国消费者开始大量采购圣诞树、2021年选秀节目出现争议、《中华人民共和国粮食安全保障法》实施新规定，哪个事件最早发生？,0,0,"[0, 2, 1, 3]","[0, 2, 1, 3]",,,1.0000,1.0000,1.0000
4365,control_ordered,Ours,江西省教育厅发布禁止本科生随意带手机进课堂的新规、2022年英国消费者开始大量采购圣诞树、2021年选秀节目出现争议、《中华人民共和国粮食安全保障法》实施新规定，哪个事件最早发生？,0,0,"[0, 2, 1, 3]","[0, 2, 1, 3]",,,1.0000,1.0000,1.0000
186,control_ordered,Standard RAG,特朗普政府削减驻阿富汗美军兵力的报道、均保政策的实施、香港特区政府暂停“回港易”计划这三件事，哪个事件最早发生？,0,0,"[0, 2, 1]","[0, 1, 2]",,,0.6667,1.0000,0.0000
186,control_ordered,TemporalSort,特朗普政府削减驻阿富汗美军兵力的报道、均保政策的实施、香港特区政府暂停“回港易”计划这三件事，哪个事件最早发生？,0,0,"[0, 2, 1]","[0, 2, 1]",,,1.0000,1.0000,1.0000
186,control_ordered,E$^2$RAG (reimpl.),特朗普政府削减驻阿富汗美军兵力的报道、均保政策的实施、香港特区政府暂停“回港易”计划这三件事，哪个事件最早发生？,0,0,"[0, 2, 1]","[0, 2, 1]",,,1.0000,1.0000,1.0000
186,control_ordered,Ours,特朗普政府削减驻阿富汗美军兵力的报道、均保政策的实施、香港特区政府暂停“回港易”计划这三件事，哪个事件最早发生？,0,0,"[0, 2, 1]","[0, 2, 1]",,,1.0000,1.0000,1.0000
624,control_ordered,Standard RAG,英国议会下院通过脱欧三阶段计划、Angelababy发布最新杂志封面大片和深圳发生买房“负首付”现象，这三个事件哪个最早发生？,0,0,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
624,control_ordered,TemporalSort,英国议会下院通过脱欧三阶段计划、Angelababy发布最新杂志封面大片和深圳发生买房“负首付”现象，这三个事件哪个最早发生？,0,0,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
624,control_ordered,E$^2$RAG (reimpl.),英国议会下院通过脱欧三阶段计划、Angelababy发布最新杂志封面大片和深圳发生买房“负首付”现象，这三个事件哪个最早发生？,0,0,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
624,control_ordered,Ours,英国议会下院通过脱欧三阶段计划、Angelababy发布最新杂志封面大片和深圳发生买房“负首付”现象，这三个事件哪个最早发生？,0,0,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
962,control_ordered,Standard RAG,2023年中央一号文件发布、特朗普发表讲话、舒淇分享合影，这三件事哪个最早发生？,0,0,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
962,control_ordered,TemporalSort,2023年中央一号文件发布、特朗普发表讲话、舒淇分享合影，这三件事哪个最早发生？,0,0,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
962,control_ordered,E$^2$RAG (reimpl.),2023年中央一号文件发布、特朗普发表讲话、舒淇分享合影，这三件事哪个最早发生？,0,0,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
962,control_ordered,Ours,2023年中央一号文件发布、特朗普发表讲话、舒淇分享合影，这三件事哪个最早发生？,0,0,"[0, 1, 2]","[0, 1, 2]",,,1.0000,1.0000,1.0000
1201,control_ordered,Standard RAG,2024年特斯拉股价变动、大众汽车计划推出新平台SSP和兰州皋兰山吸引游客的事件中，哪个事件发生得最晚？,0,2,"[1, 2, 0]","[0, 1, 2]",,,0.3333,0.0000,0.0000
1201,control_ordered,TemporalSort,2024年特斯拉股价变动、大众汽车计划推出新平台SSP和兰州皋兰山吸引游客的事件中，哪个事件发生得最晚？,0,2,"[1, 2, 0]","[1, 0, 2]",,,0.6667,0.0000,0.0000
