relation_id,case_id,head_event_id,tail_event_id,relation_type,relation_direction,relation_confidence,relation_evidence,is_gold_relation,is_disputed,dispute_note,annotation_status
HW_R01,CASE_HUAWEI_001,HW_E01,HW_E02,direct_causality,forward,0.95,The TGL was issued immediately after the Entity List action to partially restore limited categories of transactions.,True,False,,checked
HW_R02,CASE_HUAWEI_001,HW_E02,HW_E03,temporal_precedence,forward,0.9,The initial TGL was later extended in August 2019.,True,False,,checked
HW_R03,CASE_HUAWEI_001,HW_E03,HW_E04,temporal_precedence,forward,0.9,The August 2019 TGL extension was followed by another extension in November 2019.,True,False,,checked
HW_R04,CASE_HUAWEI_001,HW_E04,HW_E05,temporal_precedence,forward,0.9,The November 2019 TGL extension was followed by a February 2020 extension.,True,False,,checked
HW_R05,CASE_HUAWEI_001,HW_E05,HW_E06,temporal_precedence,forward,0.9,The February 2020 TGL extension was followed by a March 2020 extension.,True,False,,checked
HW_R06,CASE_HUAWEI_001,HW_E06,HW_E07,temporal_precedence,forward,0.9,"The March 2020 TGL extension was followed by the May 2020 extension through August 13, 2020.",True,False,,checked
HW_R07,CASE_HUAWEI_001,HW_E01,HW_E08,policy_escalation,forward,0.93,The May 2020 FDP rule tightened controls after the original Entity List step proved insufficient to block certain foreign-produced chip flows.,True,False,,checked
HW_R08,CASE_HUAWEI_001,HW_E07,HW_E10,policy_escalation,forward,0.92,The last TGL extension preceded the later August 2020 decision to remove the TGL and replace it with a narrower authorization.,True,False,,checked
HW_R09,CASE_HUAWEI_001,HW_E08,HW_E11,policy_escalation,forward,0.95,The August 2020 rule explicitly further tightened the Huawei FDP framework after the May 2020 version.,True,False,,checked
HW_R10,CASE_HUAWEI_001,HW_E01,HW_E09,policy_escalation,forward,0.9,BIS later expanded Huawei-related Entity List coverage to additional affiliates in August 2020.,True,False,,checked
HW_R11,CASE_HUAWEI_001,HW_E11,HW_E14,direct_causality,forward,0.96,The Seagate penalty was based on shipments to Huawei in violation of the Huawei FDP rule.,True,False,,checked
HW_R12,CASE_HUAWEI_001,HW_E12,HW_E13,direct_causality,forward,0.95,The FCC’s initial Covered List became the basis for the later ban on authorizing new covered equipment.,True,False,,checked
HW_R13,CASE_HUAWEI_001,HW_E01,HW_E12,impact_propagation,forward,0.78,Huawei’s national-security designation migrated from export controls into domestic U.S. communications restrictions.,False,False,Cross-agency linkage; grounded but not stated as a formal legal dependency.,checked
HW_R14,CASE_HUAWEI_001,HW_E09,HW_E12,impact_propagation,forward,0.7,Broader Huawei affiliate restrictions contributed to a wider risk profile that aligned with later FCC treatment.,False,False,Cross-regime policy linkage.,checked
HW_R15,CASE_HUAWEI_001,HW_E08,HW_E14,impact_propagation,forward,0.88,The Huawei-targeted FDP regime created the compliance environment later enforced through the Seagate action.,True,False,,checked
SM_R01,CASE_SMIC_001,SM_E01,SM_E02,impact_propagation,forward,0.84,The control focus widened from a firm-specific SMIC designation to a broader PRC advanced-node and fab capability control framework.,False,False,Sector-level continuation rather than explicit single-firm dependency.,checked
SM_R02,CASE_SMIC_001,SM_E02,SM_E04,policy_escalation,forward,0.93,The October 2023 SME rule updated and expanded the October 2022 semiconductor-manufacturing-item controls.,True,False,,checked
SM_R03,CASE_SMIC_001,SM_E02,SM_E05,policy_escalation,forward,0.93,The October 2023 AC/S rule updated and corrected the October 2022 advanced-computing framework.,True,False,,checked
SM_R04,CASE_SMIC_001,SM_E04,SM_E06,direct_causality,forward,0.92,The April 2024 rule explicitly corrected and clarified the October 2023 rule package.,True,False,,checked
SM_R05,CASE_SMIC_001,SM_E05,SM_E06,direct_causality,forward,0.92,The April 2024 rule also clarifies the October 2023 advanced-computing update.,True,False,,checked
SM_R06,CASE_SMIC_001,SM_E04,SM_E07,policy_escalation,forward,0.86,The December 2024 ecosystem-wide Entity List expansion deepened the tightened sector posture reflected in the 2023 manufacturing-item rule.,False,False,Escalation is inferential across rule packages.,checked
SM_R07,CASE_SMIC_001,SM_E05,SM_E07,policy_escalation,forward,0.86,The December 2024 140-entity action deepened the wider 2023 advanced-computing and semiconductor end-use restriction environment.,False,False,Escalation is inferential across rule packages.,checked
SM_R08,CASE_SMIC_001,SM_E01,SM_E07,impact_propagation,forward,0.8,The control logic moved from SMIC-specific listing to ecosystem-level tightening over time.,False,False,Broad sectoral linkage.,checked
SM_R09,CASE_SMIC_001,SM_E02,SM_E03,impact_propagation,forward,0.82,The October 2022 control package was followed by December 2022 Entity List pressure across additional PRC chip actors.,False,False,,checked
SM_R10,CASE_SMIC_001,SM_E03,SM_E07,policy_escalation,forward,0.87,The December 2024 action further broadened the ecosystem control trend visible in December 2022.,False,False,,checked
ADV_R01,CASE_ADVCTRL_001,ADV_E01,ADV_E02,conditional_trigger,forward,0.76,The same October 2022 tightening cycle paired broad advanced-control rules with an enlarged UVL posture.,False,False,Parallel actions in the same policy package.,checked
ADV_R02,CASE_ADVCTRL_001,ADV_E02,ADV_E03,policy_escalation,forward,0.96,December 2022 escalated part of the UVL pressure into formal Entity List restrictions with conforming removals from the UVL.,True,False,,checked
ADV_R03,CASE_ADVCTRL_001,ADV_E01,ADV_E03,policy_escalation,forward,0.88,The December 2022 action hardened the October 2022 ecosystem tightening trajectory.,False,False,,checked
ADV_R04,CASE_ADVCTRL_001,ADV_E01,ADV_E04,direct_causality,forward,0.95,The October 2023 SME IFR explicitly updates the October 2022 rule package.,True,False,,checked
ADV_R05,CASE_ADVCTRL_001,ADV_E01,ADV_E05,direct_causality,forward,0.95,The October 2023 AC/S IFR explicitly updates and corrects the October 2022 package.,True,False,,checked
ADV_R06,CASE_ADVCTRL_001,ADV_E04,ADV_E06,direct_causality,forward,0.94,The April 2024 rule corrects and clarifies the October 2023 controls.,True,False,,checked
ADV_R07,CASE_ADVCTRL_001,ADV_E05,ADV_E06,direct_causality,forward,0.94,The April 2024 rule also refines the October 2023 AC/S rule.,True,False,,checked
ADV_R08,CASE_ADVCTRL_001,ADV_E05,ADV_E07,impact_propagation,forward,0.8,Semiconductor and advanced-computing security controls spill into federal procurement risk management in 2024.,False,False,Cross-regime policy linkage.,checked
ADV_R09,CASE_ADVCTRL_001,ADV_E04,ADV_E08,policy_escalation,forward,0.88,The December 2024 140-entity action deepens the tightening logic visible in the 2023 SME update.,False,False,,checked
ADV_R10,CASE_ADVCTRL_001,ADV_E05,ADV_E08,policy_escalation,forward,0.88,The December 2024 action deepens the broader advanced-computing control architecture updated in October 2023.,False,False,,checked
ADV_R11,CASE_ADVCTRL_001,ADV_E02,ADV_E08,impact_propagation,forward,0.79,The ecosystem moved from UVL-based verification risk to a much larger Entity List footprint by late 2024.,False,False,,checked
ADV_R12,CASE_ADVCTRL_001,ADV_E03,ADV_E08,policy_escalation,forward,0.9,The 2024 140-entity rule represents a further scale-up beyond the December 2022 Entity List additions.,True,False,,checked
ADV_R13,CASE_ADVCTRL_001,ADV_E05,ADV_E09,policy_escalation,forward,0.89,The December 2024 companion IFR deepens the technical-control architecture updated in the October 2023 AC/S rule by adding HBM controls and new FDP refinements.,False,False,,checked
ADV_R14,CASE_ADVCTRL_001,ADV_E08,ADV_E09,conditional_trigger,forward,0.78,The December 2024 140-entity action and the companion IFR were part of the same policy package tightening both entity-level and technical controls.,False,False,Concurrent package rather than strict temporal causality.,checked
YMTC_R01,CASE_YMTC_001,YMTC_E01,YMTC_E02,policy_escalation,forward,0.98,The December 2022 rule escalated YMTC from UVL verification risk to formal Entity List restrictions and removed YMTC from the UVL.,True,False,,checked
YMTC_R02,CASE_YMTC_001,YMTC_E02,YMTC_E03,impact_propagation,forward,0.78,"After YMTC’s Entity List designation, later memory/HBM-focused tightening increased ecosystem-wide technology-access risk for PRC memory-fab actors.",False,False,Cross-ecosystem rather than entity-specific escalation.,checked
YMTC_R03,CASE_YMTC_001,YMTC_E03,YMTC_E04,policy_escalation,forward,0.83,The 2026 procurement proposal extends consequences beyond export controls into federal acquisition and supply-chain exclusion for named memory-fab actors such as YMTC and CXMT.,False,False,,checked
YMTC_R04,CASE_YMTC_001,YMTC_E02,YMTC_E04,impact_propagation,forward,0.9,YMTC’s Entity List status foreshadows the later procurement-side exclusion risk created when YMTC is explicitly named in the proposed FAR definition of covered semiconductors.,True,False,,checked
COV_R01,CASE_COVSEM_001,COV_E01,COV_E02,temporal_precedence,forward,0.92,The June 2024 notice extended the comment period for the May 2024 ANPR.,True,False,,checked
COV_R02,CASE_COVSEM_001,COV_E01,COV_E03,direct_causality,forward,0.9,The February 2026 proposed rule follows the 2024 ANPR rulemaking process and turns the earlier consultation into concrete proposed FAR text.,True,False,,checked
COV_R03,CASE_COVSEM_001,COV_E03,COV_E04,direct_causality,forward,0.97,"The proposed rule operationalizes the procurement prohibition by defining covered semiconductor products or services to include products tied to SMIC, CXMT, and YMTC.",True,False,,checked
COV_R04,CASE_COVSEM_001,COV_E03,COV_E05,direct_causality,forward,0.97,The proposed rule not only prohibits covered semiconductors but also imposes reporting and disclosure duties.,True,False,,checked
COV_R05,CASE_COVSEM_001,COV_E04,COV_E05,impact_propagation,forward,0.91,"Once specific covered sources are named, contractors face downstream reporting, disclosure, and corrective-action exposure when those sources appear in supply chains.",True,False,,checked
COV_R06,CASE_COVSEM_001,COV_E01,COV_E04,policy_escalation,forward,0.88,The rulemaking moved from a general ANPR on covered semiconductors in 2024 to a 2026 proposal that names concrete semiconductor sources.,False,False,,checked
ADV_R18,CASE_ADVCTRL_001,ADV_E09,ADV_E10,policy_escalation,forward,0.93,"The December 2024 HBM/FDP refinements were followed by the January 2025 AI Diffusion framework, which globalized the control logic around advanced-computing IC clusters.",True,False,,checked
ADV_R19,CASE_ADVCTRL_001,ADV_E09,ADV_E11,direct_causality,forward,0.92,The January 2025 due-diligence IFR explicitly built on the December 2024 FDP/HBM refinements and addressed implementation gaps those controls exposed for foundries and OSATs.,True,False,,checked
ADV_R20,CASE_ADVCTRL_001,ADV_E11,ADV_E12,impact_propagation,forward,0.88,Foundry-side due-diligence concerns and diversion risk in advanced IC supply chains were followed by a foundry-focused Entity List action targeting Sophgo-linked entities.,True,False,,checked
ADV_R21,CASE_ADVCTRL_001,ADV_E11,ADV_E13,direct_causality,forward,0.96,"The February 2025 correction directly revised the January 16, 2025 due-diligence IFR’s treatment of ECCN 3A090.",True,False,,checked
ADV_R22,CASE_ADVCTRL_001,ADV_E10,ADV_E14,impact_propagation,forward,0.74,The 2026 case-by-case rule did not replace the AI diffusion framework but recalibrated one slice of advanced-chip licensing inside the broader control architecture.,False,False,,checked
ADV_R15,CASE_ADVCTRL_001,ADV_E09,ADV_E12,policy_escalation,forward,0.9,The December 2024 technical refinements were followed by a January 2025 targeted enforcement action against entities tied to advanced-IC development and diversion risk.,True,False,,checked
YMTC_R05,CASE_YMTC_001,YMTC_E03,YMTC_E05,impact_propagation,forward,0.82,"The December 2024 HBM refinements were incorporated into the January 2025 AI Diffusion framework, which highlighted HBM as critical to AI training and inference at scale.",True,False,,checked
YMTC_R06,CASE_YMTC_001,YMTC_E04,YMTC_E06,direct_causality,forward,0.96,"Once the proposed FAR rule named YMTC as a covered semiconductor source, the same proposal imposed 72-hour reporting and disclosure duties for covered-semiconductor discoveries.",True,False,,checked
YMTC_R07,CASE_YMTC_001,YMTC_E05,YMTC_E06,impact_propagation,forward,0.78,Global AI-diffusion governance increases the downstream significance of procurement-era reporting and disclosure duties for memory-linked supply chains.,False,False,,checked
YMTC_R08,CASE_YMTC_001,YMTC_E02,YMTC_E06,policy_escalation,forward,0.87,The chain progresses from direct Entity List restriction on YMTC to a later procurement and disclosure regime that broadens downstream compliance exposure.,True,False,,checked
FND_R01,CASE_FOUNDRY_001,FND_E01,FND_E02,policy_escalation,forward,0.92,The December 2024 technical tightening was followed by a January 2025 framework that globalized licensing logic for advanced-computing IC clusters.,True,False,,checked
FND_R02,CASE_FOUNDRY_001,FND_E01,FND_E03,direct_causality,forward,0.93,The January 2025 due-diligence IFR was introduced to address implementation problems exposed by the December 2024 advanced-node/HBM/FDP refinements.,True,False,,checked
FND_R03,CASE_FOUNDRY_001,FND_E03,FND_E04,impact_propagation,forward,0.89,Foundry-focused diligence concerns were quickly followed by direct Entity List action against Sophgo-linked entities tied to advanced IC support and Huawei diversion risk.,True,False,,checked
FND_R04,CASE_FOUNDRY_001,FND_E01,FND_E04,policy_escalation,forward,0.9,The new advanced-node/HBM/FDP architecture in December 2024 was followed by a targeted foundry-side Entity List enforcement action in January 2025.,True,False,,checked
FND_R05,CASE_FOUNDRY_001,FND_E03,FND_E05,direct_causality,forward,0.96,The February 2025 correction explicitly revised the January 16 due-diligence IFR’s ECCN 3A090 license table.,True,False,,checked
FND_R06,CASE_FOUNDRY_001,FND_E02,FND_E03,conditional_trigger,forward,0.84,"Once AI diffusion controls globalized advanced-computing licensing, BIS paired them with additional foundry and OSAT diligence measures to control diversion risk.",False,False,,checked
FND_R07,CASE_FOUNDRY_001,FND_E02,FND_E06,impact_propagation,forward,0.71,The 2026 case-by-case rule can be read as a later recalibration within the broader AI-diffusion control architecture rather than a separate regime.,False,False,,checked
FND_R08,CASE_FOUNDRY_001,FND_E04,FND_E06,impact_propagation,forward,0.68,"The later licensing recalibration still preserves concern about foundry-capacity diversion and security procedures, showing continuity with the foundry enforcement episode.",False,False,,checked
CX_R01,CASE_CXMT_001,CX_E01,CX_E05,policy_escalation,forward,0.91,The 2024 FAR ANPR created the implementation pathway later used in the 2026 proposed rule to name covered semiconductor sources such as CXMT.,True,False,,checked
CX_R02,CASE_CXMT_001,CX_E02,CX_E04,impact_propagation,forward,0.89,The December 2024 HBM controls strengthen the strategic logic later echoed by the AI Diffusion framework around frontier-AI compute clusters and memory bandwidth.,True,False,,checked
CX_R03,CASE_CXMT_001,CX_E03,CX_E05,impact_propagation,forward,0.87,The DoD military-company designation provides an additional federal security-screening signal before the procurement rule later names CXMT.,False,False,,checked
CX_R04,CASE_CXMT_001,CX_E04,CX_E05,impact_propagation,forward,0.9,The AI Diffusion framing reinforces why memory-linked firms and components can become procurement-sensitive in the frontier-AI stack.,False,False,,checked
CX_R05,CASE_CXMT_001,CX_E05,CX_E06,direct_causality,forward,0.98,"Once CXMT is named in the covered-source definition, the reporting and disclosure obligations attach to discoveries of covered semiconductors.",True,False,,checked
CX_R06,CASE_CXMT_001,CX_E02,CX_E05,impact_propagation,forward,0.85,"HBM controls help make advanced memory strategically salient, which supports later procurement-side treatment of named memory sources.",False,False,,checked
COV_R07,CASE_COVSEM_001,COV_E06,COV_E04,impact_propagation,forward,0.84,The DoD designation signal around CXMT precedes and supports a later procurement rule that explicitly names CXMT in the covered-source definition.,False,False,,checked
COV_R08,CASE_COVSEM_001,COV_E04,COV_E07,conditional_trigger,forward,0.92,"Once named-source prohibitions were specified, the proposed rule also had to define transition exceptions for existing equipment and scarce alternatives.",True,False,,checked
COV_R09,CASE_COVSEM_001,COV_E05,COV_E07,conditional_trigger,forward,0.88,The addition of reporting and disclosure duties is operationally intertwined with the same phased implementation and exception structure.,False,False,,checked
SM_R11,CASE_SMIC_001,SM_E01,SM_E08,impact_propagation,forward,0.94,"The 2025 GMC/Jicun action explicitly references procurement of SME for SMIC-listed parties, making it a downstream enforcement consequence of the original 2020 SMIC listing.",True,False,,checked
SM_R12,CASE_SMIC_001,SM_E04,SM_E08,impact_propagation,forward,0.88,The 2023 semiconductor-manufacturing-item control refinement helps explain the later importance of enforcement around unauthorized SME procurement for listed fabs.,False,False,,checked
SM_R13,CASE_SMIC_001,SM_E05,SM_E09,impact_propagation,forward,0.86,The October 2023 advanced-computing update sits upstream of later anti-circumvention actions targeting diversion to listed parties.,False,False,,checked
SM_R14,CASE_SMIC_001,SM_E07,SM_E08,impact_propagation,forward,0.9,The December 2024 140-entity action deepened ecosystem controls and is consistent with later targeted diversion enforcement tied to SMIC fabs.,False,False,,checked
SM_R15,CASE_SMIC_001,SM_E07,SM_E09,impact_propagation,forward,0.87,Broad ecosystem tightening in December 2024 supports the interpretation of the September 2025 NetForward action as part of a widening anti-circumvention posture.,False,False,,checked
ADV_R16,CASE_ADVCTRL_001,ADV_E11,ADV_E15,impact_propagation,forward,0.89,The January 2025 due-diligence IFR anticipates the continuing need for anti-diversion enforcement that later appears in the September 2025 Entity List action.,False,False,,checked
ADV_R17,CASE_ADVCTRL_001,ADV_E12,ADV_E15,impact_propagation,forward,0.92,"The January 2025 Foundry Entity List action is followed by later 2025 enforcement against additional diversion and circumvention entities, showing continuity of control logic.",True,False,,checked
FND_R09,CASE_FOUNDRY_001,FND_E04,FND_E07,impact_propagation,forward,0.92,"The January 2025 Foundry Entity List action is followed by later September 2025 enforcement against firms that procured SME for SMIC-listed fabs, extending the same anti-diversion posture.",True,False,,checked
FND_R10,CASE_FOUNDRY_001,FND_E04,FND_E08,impact_propagation,forward,0.9,The NetForward action extends the earlier foundry/diversion logic into a broader circumvention-risk enforcement wave.,True,False,,checked
FND_R11,CASE_FOUNDRY_001,FND_E03,FND_E07,impact_propagation,forward,0.86,The due-diligence emphasis on foundries and OSATs anticipates later enforcement against firms involved in unauthorized procurement for listed fabs.,False,False,,checked
FND_R12,CASE_FOUNDRY_001,FND_E03,FND_E08,impact_propagation,forward,0.84,The 2025 due-diligence framework and later NetForward action together show a shift from rule clarification to broader anti-circumvention enforcement.,False,False,,checked
VEU_R01,CASE_VEU_001,VEU_E01,VEU_E02,policy_escalation,forward,0.84,The shift from a facilitative Data Center VEU architecture to AI Diffusion reflects a move from trusted-channel facilitation to differentiated frontier-compute control.,True,False,,checked
VEU_R02,CASE_VEU_001,VEU_E02,VEU_E03,direct_causality,forward,0.88,"The AI Diffusion framework heightened the policy importance of screening supply-chain participants, followed immediately by foundry and OSAT due-diligence measures.",True,False,,checked
VEU_R03,CASE_VEU_001,VEU_E03,VEU_E04,policy_escalation,forward,0.92,"Added due-diligence obligations preceded the later revocation of VEU authorizations for China-based fabs, reflecting trust erosion.",True,False,,checked
VEU_R04,CASE_VEU_001,VEU_E04,VEU_E05,impact_propagation,forward,0.77,The 2026 case-by-case review policy changed chip-review posture but did not restore the earlier VEU trust status that had been revoked.,False,False,,checked
VEU_R05,CASE_VEU_001,VEU_E01,VEU_E04,policy_escalation,forward,0.95,The chain moves from VEU expansion in 2024 to explicit VEU revocation in 2025.,True,False,,checked
VEU_R06,CASE_VEU_001,VEU_E03,VEU_E05,conditional_trigger,forward,0.73,"Even after recalibration of some chip reviews, foundry due diligence remained relevant because the recalibration was narrower than a restoration of trusted-fab status.",False,False,,checked
EL25_R01,CASE_EL25_001,EL25_E01,EL25_E02,temporal_precedence,forward,0.75,The two January 16 actions formed a same-day compound tightening cycle.,False,False,,checked
EL25_R02,CASE_EL25_001,EL25_E02,EL25_E03,policy_escalation,forward,0.86,"The March 2025 mass expansion followed the January additions and revisions, broadening the Entity List perimeter.",True,False,,checked
EL25_R03,CASE_EL25_001,EL25_E01,EL25_E03,policy_escalation,forward,0.9,March 2025 is a broader escalation relative to the January 16-entity action.,True,False,,checked
EL25_R04,CASE_EL25_001,EL25_E03,EL25_E04,direct_causality,forward,0.81,"After the broad March expansion, September 2025 made anti-diversion enforcement explicit in semiconductor supply chains linked to SMIC-listed fabs.",True,False,,checked
EL25_R05,CASE_EL25_001,EL25_E04,EL25_E05,policy_escalation,forward,0.87,October 2025 widened the geographic perimeter after September’s diversion-focused action.,True,False,,checked
EL25_R06,CASE_EL25_001,EL25_E02,EL25_E05,impact_propagation,forward,0.7,The January revision/addition action and the October widening both show 2025 evolution toward broader network enforcement.,False,False,,checked
IMP_R01,CASE_IMPSEC_001,IMP_E01,IMP_E02,impact_propagation,forward,0.78,Domestic AI infrastructure policy formed part of the broader strategic context for treating semiconductor dependence as a national-security problem.,False,False,,checked
IMP_R02,CASE_IMPSEC_001,IMP_E02,IMP_E03,direct_causality,forward,0.98,The plan of action follows directly from the section 232 national-security finding in the same proclamation.,True,False,,checked
IMP_R03,CASE_IMPSEC_001,IMP_E03,IMP_E04,policy_escalation,forward,0.82,Import-adjustment logic is complemented by procurement restrictions that push semiconductor security concerns into contracting.,True,False,,checked
IMP_R04,CASE_IMPSEC_001,IMP_E04,IMP_E05,direct_causality,forward,0.96,The subcontract flow-down and reporting obligations are part of the procurement prohibition architecture in the same FAR proposal.,True,False,,checked
IMP_R05,CASE_IMPSEC_001,IMP_E01,IMP_E04,impact_propagation,forward,0.68,Industrial-policy emphasis on U.S.-based AI infrastructure aligns with later procurement-side semiconductor security controls.,False,False,,checked
IMP_R06,CASE_IMPSEC_001,IMP_E02,IMP_E04,impact_propagation,forward,0.74,The section 232 national-security finding supports a broader policy move toward procurement-side caution around semiconductor sources.,False,False,,checked
IMP_R07,CASE_IMPSEC_001,IMP_E02,IMP_E05,conditional_trigger,forward,0.72,"Once semiconductor imports are framed as a national-security threat, subcontractor reporting and flow-down become more salient as an enforcement mechanism.",False,False,,checked
IMP_R08,CASE_IMPSEC_001,IMP_E03,IMP_E05,impact_propagation,forward,0.76,The plan of action broadens intervention logic beyond direct import policy into compliance distribution across procurement chains.,False,False,,checked
